idx,steps,episodes,reward,time,agent0_reward,agent1_reward,agent2_reward,agent3_reward,agent4_reward,agent5_reward
932,550470,9330,-7.594,22.813,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27
933,551060,9340,-6.69,22.798,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
934,551650,9350,-6.708,22.782,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
935,552240,9360,-6.637,22.767,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
936,552830,9370,-6.326,22.751,-1.05,-1.05,-1.05,-1.05,-1.05,-1.05
937,553420,9380,-7.683,22.735,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28
938,554010,9390,-7.2,22.735,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
939,554600,9400,-6.493,22.704,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
940,555190,9410,-6.429,22.657,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
941,555780,9420,-6.528,22.657,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
942,556370,9430,-6.999,22.657,-1.17,-1.17,-1.17,-1.17,-1.17,-1.17
943,556960,9440,-7.505,22.642,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
944,557550,9450,-6.793,22.673,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
945,558140,9460,-6.641,22.642,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
946,558730,9470,-6.585,22.61,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
947,559320,9480,-6.527,22.626,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
948,559910,9490,-6.999,22.61,-1.17,-1.17,-1.17,-1.17,-1.17,-1.17
949,560500,9500,-7.512,22.612,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
950,561090,9510,-6.725,22.61,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
951,561680,9520,-6.562,22.579,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
952,562270,9530,-6.402,22.61,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
953,562860,9540,-6.513,22.579,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
954,563450,9550,-7.99,22.579,-1.33,-1.33,-1.33,-1.33,-1.33,-1.33
955,564040,9560,-6.671,22.595,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
956,564630,9570,-6.694,22.563,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
957,565220,9580,-6.8,22.595,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
958,565810,9590,-6.487,22.579,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
959,566400,9600,-6.749,22.579,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
960,566990,9610,-7.486,22.595,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
961,567580,9620,-7.158,22.579,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
962,568170,9630,-6.803,22.595,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
963,568760,9640,-6.503,22.579,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
964,569350,9650,-6.242,22.735,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04
965,569940,9660,-7.461,22.61,-1.24,-1.24,-1.24,-1.24,-1.24,-1.24
966,570530,9670,-7.095,22.595,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18
967,571120,9680,-6.595,22.579,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
968,571710,9690,-6.523,22.579,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
969,572300,9700,-6.494,23.188,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
970,572890,9710,-7.1,22.595,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18
971,573480,9720,-7.492,22.595,-1.25,-1.25,-1.25,-1.25,-1.25,-1.25
972,574070,9730,-6.549,22.657,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
973,574660,9740,-6.548,22.595,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
974,575250,9750,-6.516,22.579,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
975,575840,9760,-6.434,22.595,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
976,576430,9770,-6.852,22.579,-1.14,-1.14,-1.14,-1.14,-1.14,-1.14
977,577020,9780,-7.609,22.595,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27
978,577610,9790,-6.713,22.563,-1.12,-1.12,-1.12,-1.12,-1.12,-1.12
979,578200,9800,-6.571,22.563,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
980,578790,9810,-6.475,22.595,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
981,579380,9820,-6.656,22.579,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
982,579970,9830,-8.118,22.61,-1.35,-1.35,-1.35,-1.35,-1.35,-1.35
983,580560,9840,-6.668,22.642,-1.11,-1.11,-1.11,-1.11,-1.11,-1.11
984,581150,9850,-6.441,22.626,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
985,581740,9860,-6.599,22.595,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
986,582330,9870,-6.495,22.642,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
987,582920,9880,-6.911,22.61,-1.15,-1.15,-1.15,-1.15,-1.15,-1.15
988,583510,9890,-7.662,22.626,-1.28,-1.28,-1.28,-1.28,-1.28,-1.28
989,584100,9900,-6.78,22.596,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
990,584690,9910,-6.776,22.595,-1.13,-1.13,-1.13,-1.13,-1.13,-1.13
991,585280,9920,-6.548,22.61,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09
992,585870,9930,-6.574,22.642,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
993,586460,9940,-7.628,22.595,-1.27,-1.27,-1.27,-1.27,-1.27,-1.27
994,587050,9950,-7.304,22.61,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22
995,587640,9960,-6.62,22.627,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1
996,588230,9970,-6.503,22.642,-1.08,-1.08,-1.08,-1.08,-1.08,-1.08
997,588820,9980,-6.404,22.659,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07
998,589410,9990,-7.081,22.688,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18
999,590000,10000,-7.333,22.673,-1.22,-1.22,-1.22,-1.22,-1.22,-1.22
