id,dataset,index,longitude
GOMu0.04_179,GOMu0.04/expt_90.1m000,179,-90.8399658203125
GOMu0.04_180,GOMu0.04/expt_90.1m000,180,-90.79998779296875
GOMu0.04_181,GOMu0.04/expt_90.1m000,181,-90.760009765625
GOMu0.04_182,GOMu0.04/expt_90.1m000,182,-90.719970703125
GOMu0.04_183,GOMu0.04/expt_90.1m000,183,-90.67999267578125
GOMu0.04_184,GOMu0.04/expt_90.1m000,184,-90.6400146484375
GOMu0.04_185,GOMu0.04/expt_90.1m000,185,-90.5999755859375
GOMu0.04_186,GOMu0.04/expt_90.1m000,186,-90.55999755859375
GOMu0.04_187,GOMu0.04/expt_90.1m000,187,-90.52001953125
GOMu0.04_188,GOMu0.04/expt_90.1m000,188,-90.47998046875
GOMu0.04_189,GOMu0.04/expt_90.1m000,189,-90.44000244140625
GOMu0.04_190,GOMu0.04/expt_90.1m000,190,-90.4000244140625
GOMu0.04_191,GOMu0.04/expt_90.1m000,191,-90.3599853515625
GOMu0.04_192,GOMu0.04/expt_90.1m000,192,-90.32000732421875
GOMu0.04_193,GOMu0.04/expt_90.1m000,193,-90.280029296875
GOMu0.04_194,GOMu0.04/expt_90.1m000,194,-90.239990234375
GOMu0.04_195,GOMu0.04/expt_90.1m000,195,-90.20001220703125
GOMu0.04_196,GOMu0.04/expt_90.1m000,196,-90.1600341796875
GOMu0.04_197,GOMu0.04/expt_90.1m000,197,-90.1199951171875
GOMu0.04_198,GOMu0.04/expt_90.1m000,198,-90.08001708984375
GOMu0.04_199,GOMu0.04/expt_90.1m000,199,-90.03997802734375
GOMu0.04_200,GOMu0.04/expt_90.1m000,200,-90.0
GOMu0.04_201,GOMu0.04/expt_90.1m000,201,-89.96002197265625
GOMu0.04_202,GOMu0.04/expt_90.1m000,202,-89.91998291015625
GOMu0.04_203,GOMu0.04/expt_90.1m000,203,-89.8800048828125
GOMu0.04_204,GOMu0.04/expt_90.1m000,204,-89.8399658203125
GOMu0.04_205,GOMu0.04/expt_90.1m000,205,-89.79998779296875
GOMu0.04_206,GOMu0.04/expt_90.1m000,206,-89.760009765625
GOMu0.04_207,GOMu0.04/expt_90.1m000,207,-89.719970703125
GOMu0.04_208,GOMu0.04/expt_90.1m000,208,-89.67999267578125
GOMu0.04_209,GOMu0.04/expt_90.1m000,209,-89.6400146484375
GOMu0.04_210,GOMu0.04/expt_90.1m000,210,-89.5999755859375
GOMu0.04_211,GOMu0.04/expt_90.1m000,211,-89.55999755859375
GOMu0.04_212,GOMu0.04/expt_90.1m000,212,-89.52001953125
GOMu0.04_213,GOMu0.04/expt_90.1m000,213,-89.47998046875
GOMu0.04_214,GOMu0.04/expt_90.1m000,214,-89.44000244140625
GOMu0.04_215,GOMu0.04/expt_90.1m000,215,-89.4000244140625
GOMu0.04_216,GOMu0.04/expt_90.1m000,216,-89.3599853515625
GOMu0.04_217,GOMu0.04/expt_90.1m000,217,-89.32000732421875
GOMu0.04_218,GOMu0.04/expt_90.1m000,218,-89.280029296875
GOMu0.04_219,GOMu0.04/expt_90.1m000,219,-89.239990234375
GOMu0.04_220,GOMu0.04/expt_90.1m000,220,-89.20001220703125
GOMu0.04_221,GOMu0.04/expt_90.1m000,221,-89.1600341796875
GOMu0.04_222,GOMu0.04/expt_90.1m000,222,-89.1199951171875
GOMu0.04_223,GOMu0.04/expt_90.1m000,223,-89.08001708984375
GOMu0.04_224,GOMu0.04/expt_90.1m000,224,-89.03997802734375
GOMu0.04_225,GOMu0.04/expt_90.1m000,225,-89.0
GOMu0.04_226,GOMu0.04/expt_90.1m000,226,-88.96002197265625
GOMu0.04_227,GOMu0.04/expt_90.1m000,227,-88.91998291015625
GOMu0.04_228,GOMu0.04/expt_90.1m000,228,-88.8800048828125
GOMu0.04_229,GOMu0.04/expt_90.1m000,229,-88.8399658203125
GOMu0.04_230,GOMu0.04/expt_90.1m000,230,-88.79998779296875
GOMu0.04_231,GOMu0.04/expt_90.1m000,231,-88.760009765625
GOMu0.04_232,GOMu0.04/expt_90.1m000,232,-88.719970703125
GOMu0.04_233,GOMu0.04/expt_90.1m000,233,-88.67999267578125
GOMu0.04_234,GOMu0.04/expt_90.1m000,234,-88.6400146484375
GOMu0.04_235,GOMu0.04/expt_90.1m000,235,-88.5999755859375
GOMu0.04_236,GOMu0.04/expt_90.1m000,236,-88.55999755859375
GOMu0.04_237,GOMu0.04/expt_90.1m000,237,-88.52001953125
GOMu0.04_238,GOMu0.04/expt_90.1m000,238,-88.47998046875
GOMu0.04_239,GOMu0.04/expt_90.1m000,239,-88.44000244140625
GOMu0.04_240,GOMu0.04/expt_90.1m000,240,-88.4000244140625
GOMu0.04_241,GOMu0.04/expt_90.1m000,241,-88.3599853515625
GOMu0.04_242,GOMu0.04/expt_90.1m000,242,-88.32000732421875
GOMu0.04_243,GOMu0.04/expt_90.1m000,243,-88.280029296875
GOMu0.04_244,GOMu0.04/expt_90.1m000,244,-88.239990234375
GOMu0.04_245,GOMu0.04/expt_90.1m000,245,-88.20001220703125
GOMu0.04_246,GOMu0.04/expt_90.1m000,246,-88.1600341796875
GOMu0.04_247,GOMu0.04/expt_90.1m000,247,-88.1199951171875
GOMu0.04_248,GOMu0.04/expt_90.1m000,248,-88.08001708984375
GOMu0.04_249,GOMu0.04/expt_90.1m000,249,-88.03997802734375
GOMu0.04_250,GOMu0.04/expt_90.1m000,250,-88.0
GOMu0.04_251,GOMu0.04/expt_90.1m000,251,-87.96002197265625
GOMu0.04_252,GOMu0.04/expt_90.1m000,252,-87.91998291015625
GOMu0.04_253,GOMu0.04/expt_90.1m000,253,-87.8800048828125
GOMu0.04_254,GOMu0.04/expt_90.1m000,254,-87.8399658203125
GOMu0.04_255,GOMu0.04/expt_90.1m000,255,-87.79998779296875
GOMu0.04_256,GOMu0.04/expt_90.1m000,256,-87.760009765625
GOMu0.04_257,GOMu0.04/expt_90.1m000,257,-87.719970703125
GOMu0.04_258,GOMu0.04/expt_90.1m000,258,-87.67999267578125
GOMu0.04_259,GOMu0.04/expt_90.1m000,259,-87.6400146484375
GOMu0.04_260,GOMu0.04/expt_90.1m000,260,-87.5999755859375
